wall_time_s,ros_time_s,network_profile,twin_stamp_s,real_stamp_s,aoi_s,aoi_twin_s,aoi_real_s,msg_dt_s,twin_joint1,twin_joint2,twin_joint3,twin_joint4,twin_joint5,twin_joint6,real_joint1,real_joint2,real_joint3,real_joint4,real_joint5,real_joint6,err_joint1,err_joint2,err_joint3,err_joint4,err_joint5,err_joint6,err_l2_rad,err_max_rad,n_twin,n_real
1776872208.831410646,1776872208.831423044,ideal,1776872208.638000011,1776872208.814823866,0.015662909,0.037140846,0.015662909,0.176823854,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.329700410,0.200623602,0.462788582,-0.000766990,0.319419533,-0.000766990,-0.329696030,-0.200539296,-0.462831563,0.000776057,-0.319417623,0.000766990,0.682024447,0.462831563,1,239
1776872208.881363630,1776872208.881373882,ideal,1776872208.638000011,1776872208.814823866,0.065615892,0.087093830,0.065615892,0.176823854,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.329700410,0.200623602,0.462788582,-0.000766990,0.319419533,-0.000766990,-0.329696030,-0.200539296,-0.462831563,0.000776057,-0.319417623,0.000766990,0.682024447,0.462831563,1,239
1776872208.931397438,1776872208.931410551,ideal,1776872208.638000011,1776872208.814823866,0.115649700,0.137127638,0.115649700,0.176823854,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.329700410,0.200623602,0.462788582,-0.000766990,0.319419533,-0.000766990,-0.329696030,-0.200539296,-0.462831563,0.000776057,-0.319417623,0.000766990,0.682024447,0.462831563,1,239
1776872208.981250525,1776872208.981258631,ideal,1776872208.638000011,1776872208.814823866,0.165502787,0.186980724,0.165502787,0.176823854,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.329700410,0.200623602,0.462788582,-0.000766990,0.319419533,-0.000766990,-0.329696030,-0.200539296,-0.462831563,0.000776057,-0.319417623,0.000766990,0.682024447,0.462831563,1,239
1776872209.031316519,1776872209.031327009,ideal,1776872208.638000011,1776872209.016364813,0.013103962,0.237046719,0.013103962,0.378364801,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.316818804,0.192694828,0.444330961,-0.000191748,0.311190367,-0.000766990,-0.316814424,-0.192610522,-0.444373942,0.000200815,-0.311188457,0.000766990,0.657097616,0.444373942,1,240
1776872209.081223249,1776872209.081230164,ideal,1776872208.638000011,1776872209.016364813,0.063010693,0.286953449,0.063010693,0.378364801,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.316818804,0.192694828,0.444330961,-0.000191748,0.311190367,-0.000766990,-0.316814424,-0.192610522,-0.444373942,0.000200815,-0.311188457,0.000766990,0.657097616,0.444373942,1,240
1776872209.131454706,1776872209.131464720,ideal,1776872208.638000011,1776872209.016364813,0.113242149,0.337184906,0.113242149,0.378364801,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.316818804,0.192694828,0.444330961,-0.000191748,0.311190367,-0.000766990,-0.316814424,-0.192610522,-0.444373942,0.000200815,-0.311188457,0.000766990,0.657097616,0.444373942,1,240
1776872209.181218147,1776872209.181225061,ideal,1776872208.638000011,1776872209.016364813,0.163005590,0.386948347,0.163005590,0.378364801,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.316818804,0.192694828,0.444330961,-0.000191748,0.311190367,-0.000766990,-0.316814424,-0.192610522,-0.444373942,0.000200815,-0.311188457,0.000766990,0.657097616,0.444373942,1,240
1776872209.231304169,1776872209.231313705,ideal,1776872208.638000011,1776872209.217888832,0.011781693,0.437034369,0.011781693,0.579888821,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.250144333,0.152326211,0.351266265,-0.000191748,0.240962818,-0.000766990,-0.250139953,-0.152241905,-0.351309246,0.000200815,-0.240960909,0.000766990,0.516941552,0.351309246,1,241
1776872209.281231403,1776872209.281253815,ideal,1776872208.638000011,1776872209.217888832,0.061708927,0.486961603,0.061708927,0.579888821,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.250144333,0.152326211,0.351266265,-0.000191748,0.240962818,-0.000766990,-0.250139953,-0.152241905,-0.351309246,0.000200815,-0.240960909,0.000766990,0.516941552,0.351309246,1,241
