wall_time_s,ros_time_s,network_profile,twin_stamp_s,real_stamp_s,aoi_s,aoi_twin_s,aoi_real_s,msg_dt_s,twin_joint1,twin_joint2,twin_joint3,twin_joint4,twin_joint5,twin_joint6,real_joint1,real_joint2,real_joint3,real_joint4,real_joint5,real_joint6,err_joint1,err_joint2,err_joint3,err_joint4,err_joint5,err_joint6,err_l2_rad,err_max_rad,n_twin,n_real
1777046689.977650642,1777046689.977660418,ideal,1777046689.733000040,1777046689.965744495,0.011123657,0.040700436,0.011123657,0.232744455,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.113524169,0.002730486,0.459057182,2.799898386,-0.348980635,-2.800090075,0.113528549,-0.002646180,-0.459100164,-2.799889319,0.348982545,2.800090075,4.003166513,2.800090075,1,143
1777046690.027827978,1777046690.027839899,ideal,1777046689.733000040,1777046689.965744495,0.061300993,0.090877771,0.061300993,0.232744455,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.113524169,0.002730486,0.459057182,2.799898386,-0.348980635,-2.800090075,0.113528549,-0.002646180,-0.459100164,-2.799889319,0.348982545,2.800090075,4.003166513,2.800090075,1,143
1777046690.077774525,1777046690.077786922,ideal,1777046689.733000040,1777046689.965744495,0.111247540,0.140824318,0.111247540,0.232744455,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.113524169,0.002730486,0.459057182,2.799898386,-0.348980635,-2.800090075,0.113528549,-0.002646180,-0.459100164,-2.799889319,0.348982545,2.800090075,4.003166513,2.800090075,1,143
1777046690.127749920,1777046690.127759457,ideal,1777046689.733000040,1777046689.965744495,0.161222935,0.190799713,0.161222935,0.232744455,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.113524169,0.002730486,0.459057182,2.799898386,-0.348980635,-2.800090075,0.113528549,-0.002646180,-0.459100164,-2.799889319,0.348982545,2.800090075,4.003166513,2.800090075,1,143
1777046690.177591324,1777046690.177598000,ideal,1777046689.733000040,1777046690.167135239,0.008561850,0.240641117,0.008561850,0.434135199,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.113464721,0.002730486,0.457105190,2.794337749,-0.348980635,-2.791845083,0.113469101,-0.002646180,-0.457148171,-2.794328682,0.348982545,2.791845083,3.993285272,2.794328682,1,144
1777046690.227617502,1777046690.227625370,ideal,1777046689.733000040,1777046690.167135239,0.058588028,0.290667295,0.058588028,0.434135199,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.113464721,0.002730486,0.457105190,2.794337749,-0.348980635,-2.791845083,0.113469101,-0.002646180,-0.457148171,-2.794328682,0.348982545,2.791845083,3.993285272,2.794328682,1,144
1777046690.277701378,1777046690.277721167,ideal,1777046689.733000040,1777046690.167135239,0.108671904,0.340751171,0.108671904,0.434135199,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.113464721,0.002730486,0.457105190,2.794337749,-0.348980635,-2.791845083,0.113469101,-0.002646180,-0.457148171,-2.794328682,0.348982545,2.791845083,3.993285272,2.794328682,1,144
1777046690.327744007,1777046690.327757835,ideal,1777046689.733000040,1777046690.167135239,0.158714533,0.390793800,0.158714533,0.434135199,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.113464721,0.002730486,0.457105190,2.794337749,-0.348980635,-2.791845083,0.113469101,-0.002646180,-0.457148171,-2.794328682,0.348982545,2.791845083,3.993285272,2.794328682,1,144
1777046690.377628326,1777046690.377637148,ideal,1777046689.733000040,1777046690.368613720,0.007714272,0.440678120,0.007714272,0.635613680,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.109528147,0.002730486,0.441868931,2.707667828,-0.337236077,-2.700956583,0.109532527,-0.002646180,-0.441911913,-2.707658761,0.337237986,2.700956583,3.866212928,2.707658761,1,145
1777046690.427810192,1777046690.427823067,ideal,1777046689.733000040,1777046690.368613720,0.057896137,0.490859985,0.057896137,0.635613680,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.109528147,0.002730486,0.441868931,2.707667828,-0.337236077,-2.700956583,0.109532527,-0.002646180,-0.441911913,-2.707658761,0.337237986,2.700956583,3.866212928,2.707658761,1,145
1777046690.477851629,1777046690.477887154,ideal,1777046689.733000040,1777046690.368613720,0.107937574,0.540901423,0.107937574,0.635613680,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.109528147,0.002730486,0.441868931,2.707667828,-0.337236077,-2.700956583,0.109532527,-0.002646180,-0.441911913,-2.707658761,0.337237986,2.700956583,3.866212928,2.707658761,1,145
1777046690.527842760,1777046690.527851343,ideal,1777046689.733000040,1777046690.368613720,0.157928705,0.590892553,0.157928705,0.635613680,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.109528147,0.002730486,0.441868931,2.707667828,-0.337236077,-2.700956583,0.109532527,-0.002646180,-0.441911913,-2.707658761,0.337237986,2.700956583,3.866212928,2.707658761,1,145
