wall_time_s,ros_time_s,network_profile,twin_stamp_s,real_stamp_s,aoi_s,aoi_twin_s,aoi_real_s,msg_dt_s,twin_joint1,twin_joint2,twin_joint3,twin_joint4,twin_joint5,twin_joint6,real_joint1,real_joint2,real_joint3,real_joint4,real_joint5,real_joint6,err_joint1,err_joint2,err_joint3,err_joint4,err_joint5,err_joint6,err_l2_rad,err_max_rad,n_twin,n_real,t_rel,twin_x,twin_y,twin_z,real_x,real_y,real_z,cart_err_m,twin_velocity_mps,real_velocity_mps,aoi_abs_s,k_aoi_eef_twin_m,k_aoi_eef_real_m,k_aoi_eef_max_m
1776872208.8314106,1776872208.831423,ideal,1776872208.638,1776872208.8148239,0.015662909,0.037140846,0.015662909,0.176823854,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.32970041,0.200623602,0.462788582,-0.00076699,0.319419533,-0.00076699,-0.32969603,-0.200539296,-0.462831563,0.000776057,-0.319417623,0.00076699,0.682024447,0.462831563,1,239,0.0,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.16968265720705694,0.05804782629096926,0.1800020539671568,0.10443871440808032,0.0,0.0,0.015662909,0.0,0.0,0.0
1776872208.8813636,1776872208.881374,ideal,1776872208.638,1776872208.8148239,0.065615892,0.08709383,0.065615892,0.176823854,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.32970041,0.200623602,0.462788582,-0.00076699,0.319419533,-0.00076699,-0.32969603,-0.200539296,-0.462831563,0.000776057,-0.319417623,0.00076699,0.682024447,0.462831563,1,239,0.04995298385620117,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.16968265720705694,0.05804782629096926,0.1800020539671568,0.10443871440808032,0.0,0.0,0.065615892,0.0,0.0,0.0
1776872208.9313974,1776872208.9314103,ideal,1776872208.638,1776872208.8148239,0.1156497,0.137127638,0.1156497,0.176823854,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.32970041,0.200623602,0.462788582,-0.00076699,0.319419533,-0.00076699,-0.32969603,-0.200539296,-0.462831563,0.000776057,-0.319417623,0.00076699,0.682024447,0.462831563,1,239,0.09998679161071777,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.16968265720705694,0.05804782629096926,0.1800020539671568,0.10443871440808032,0.0,0.01825597640968677,0.1156497,0.0,0.002111298194987352,0.002111298194987352
1776872208.9812503,1776872208.9812586,ideal,1776872208.638,1776872208.8148239,0.165502787,0.186980724,0.165502787,0.176823854,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.32970041,0.200623602,0.462788582,-0.00076699,0.319419533,-0.00076699,-0.32969603,-0.200539296,-0.462831563,0.000776057,-0.319417623,0.00076699,0.682024447,0.462831563,1,239,0.1498396396636963,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.16968265720705694,0.05804782629096926,0.1800020539671568,0.10443871440808032,0.0,0.01825597640968677,0.165502787,0.0,0.0030214149752094146,0.0030214149752094146
1776872209.0313165,1776872209.031327,ideal,1776872208.638,1776872209.0163648,0.013103962,0.237046719,0.013103962,0.378364801,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.316818804,0.192694828,0.444330961,-0.000191748,0.311190367,-0.00076699,-0.316814424,-0.192610522,-0.444373942,0.000200815,-0.311188457,0.00076699,0.657097616,0.444373942,1,240,0.1999058723449707,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.16681584961641818,0.054688809800260384,0.17882575198521578,0.10001008121267353,0.0,0.01825597640968677,0.013103962,0.0,0.00023922562114543188,0.00023922562114543188
1776872209.0812232,1776872209.08123,ideal,1776872208.638,1776872209.0163648,0.063010693,0.286953449,0.063010693,0.378364801,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.316818804,0.192694828,0.444330961,-0.000191748,0.311190367,-0.00076699,-0.316814424,-0.192610522,-0.444373942,0.000200815,-0.311188457,0.00076699,0.657097616,0.444373942,1,240,0.24981260299682617,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.16681584961641818,0.054688809800260384,0.17882575198521578,0.10001008121267353,0.0,0.01825597640968677,0.063010693,0.0,0.0011503217249660155,0.0011503217249660155
1776872209.1314547,1776872209.1314647,ideal,1776872208.638,1776872209.0163648,0.113242149,0.337184906,0.113242149,0.378364801,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.316818804,0.192694828,0.444330961,-0.000191748,0.311190367,-0.00076699,-0.316814424,-0.192610522,-0.444373942,0.000200815,-0.311188457,0.00076699,0.657097616,0.444373942,1,240,0.30004405975341797,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.16681584961641818,0.054688809800260384,0.17882575198521578,0.10001008121267353,0.0,0.10431523346554897,0.113242149,0.0,0.011812881211075483,0.011812881211075483
1776872209.181218,1776872209.181225,ideal,1776872208.638,1776872209.0163648,0.16300559,0.386948347,0.16300559,0.378364801,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.316818804,0.192694828,0.444330961,-0.000191748,0.311190367,-0.00076699,-0.316814424,-0.192610522,-0.444373942,0.000200815,-0.311188457,0.00076699,0.657097616,0.444373942,1,240,0.3498072624206543,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.16681584961641818,0.054688809800260384,0.17882575198521578,0.10001008121267353,0.0,0.08605925705586219,0.16300559,0.0,0.01402813997135248,0.01402813997135248
1776872209.231304,1776872209.2313137,ideal,1776872208.638,1776872209.2178888,0.011781693,0.437034369,0.011781693,0.579888821,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.250144333,0.152326211,0.351266265,-0.000191748,0.240962818,-0.00076699,-0.250139953,-0.152241905,-0.351309246,0.000200815,-0.240960909,0.00076699,0.516941552,0.351309246,1,241,0.39989328384399414,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.15310161798862734,0.03911384875332588,0.17301010319156068,0.07924345230291503,0.0,0.08605925705586219,0.011781693,0.0,0.0010139237464402522,0.0010139237464402522
1776872209.2812314,1776872209.2812538,ideal,1776872208.638,1776872209.2178888,0.061708927,0.486961603,0.061708927,0.579888821,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.250144333,0.152326211,0.351266265,-0.000191748,0.240962818,-0.00076699,-0.250139953,-0.152241905,-0.351309246,0.000200815,-0.240960909,0.00076699,0.516941552,0.351309246,1,241,0.44982075691223145,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.15310161798862734,0.03911384875332588,0.17301010319156068,0.07924345230291503,0.0,0.08605925705586219,0.061708927,0.0,0.005310624411334434,0.005310624411334434
