wall_time_s,ros_time_s,network_profile,twin_stamp_s,real_stamp_s,aoi_s,aoi_twin_s,aoi_real_s,msg_dt_s,twin_joint1,twin_joint2,twin_joint3,twin_joint4,twin_joint5,twin_joint6,real_joint1,real_joint2,real_joint3,real_joint4,real_joint5,real_joint6,err_joint1,err_joint2,err_joint3,err_joint4,err_joint5,err_joint6,err_l2_rad,err_max_rad,n_twin,n_real
1777042929.302953005,1777042929.302961349,ideal,1777042929.028000116,1777042929.192766190,0.109289885,0.036124706,0.109289885,0.164766073,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.480663300,0.320260674,0.629022241,2.799706697,-0.438143253,-2.800090075,-0.480658920,-0.320176368,-0.629065222,-2.799697630,0.438145163,2.800090075,4.074316064,2.800090075,1,98
1777042929.353122234,1777042929.353132963,ideal,1777042929.028000116,1777042929.192766190,0.159459114,0.086293936,0.159459114,0.164766073,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.480663300,0.320260674,0.629022241,2.799706697,-0.438143253,-2.800090075,-0.480658920,-0.320176368,-0.629065222,-2.799697630,0.438145163,2.800090075,4.074316064,2.800090075,1,98
1777042929.402916908,1777042929.402923107,ideal,1777042929.028000116,1777042929.394142151,0.006973982,0.136088610,0.006973982,0.366142035,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.480651796,0.320260674,0.628974319,2.799706697,-0.438143253,-2.800090075,-0.480647416,-0.320176368,-0.629017300,-2.799697630,0.438145163,2.800090075,4.074307308,2.800090075,1,99
1777042929.453160048,1777042929.453169107,ideal,1777042929.028000116,1777042929.394142151,0.057217121,0.186331749,0.057217121,0.366142035,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.480651796,0.320260674,0.628974319,2.799706697,-0.438143253,-2.800090075,-0.480647416,-0.320176368,-0.629017300,-2.799697630,0.438145163,2.800090075,4.074307308,2.800090075,1,99
1777042929.503102779,1777042929.503114462,ideal,1777042929.028000116,1777042929.394142151,0.107159853,0.236274481,0.107159853,0.366142035,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.480651796,0.320260674,0.628974319,2.799706697,-0.438143253,-2.800090075,-0.480647416,-0.320176368,-0.629017300,-2.799697630,0.438145163,2.800090075,4.074307308,2.800090075,1,99
1777042929.553187370,1777042929.553201675,ideal,1777042929.028000116,1777042929.394142151,0.157244444,0.286359072,0.157244444,0.366142035,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.480651796,0.320260674,0.628974319,2.799706697,-0.438143253,-2.800090075,-0.480647416,-0.320176368,-0.629017300,-2.799697630,0.438145163,2.800090075,4.074307308,2.800090075,1,99
1777042929.603011847,1777042929.603021860,ideal,1777042929.028000116,1777042929.595651388,0.005607367,0.336183548,0.005607367,0.567651272,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.467986852,0.311946511,0.611995041,2.736429930,-0.431032628,-2.729718924,-0.467982472,-0.311862205,-0.612038023,-2.736420863,0.431034538,2.729718924,3.976934936,2.736420863,1,100
1777042929.653090477,1777042929.653097630,ideal,1777042929.028000116,1777042929.595651388,0.055685997,0.386262178,0.055685997,0.567651272,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.467986852,0.311946511,0.611995041,2.736429930,-0.431032628,-2.729718924,-0.467982472,-0.311862205,-0.612038023,-2.736420863,0.431034538,2.729718924,3.976934936,2.736420863,1,100
1777042929.703041077,1777042929.703049660,ideal,1777042929.028000116,1777042929.595651388,0.105636597,0.436212778,0.105636597,0.567651272,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.467986852,0.311946511,0.611995041,2.736429930,-0.431032628,-2.729718924,-0.467982472,-0.311862205,-0.612038023,-2.736420863,0.431034538,2.729718924,3.976934936,2.736420863,1,100
1777042929.753084898,1777042929.753094912,ideal,1777042929.028000116,1777042929.595651388,0.155680418,0.486256599,0.155680418,0.567651272,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.467986852,0.311946511,0.611995041,2.736429930,-0.431032628,-2.729718924,-0.467982472,-0.311862205,-0.612038023,-2.736420863,0.431034538,2.729718924,3.976934936,2.736420863,1,100
1777042929.802985430,1777042929.802991629,ideal,1777042929.028000116,1777042929.797215700,0.004222155,0.536157131,0.004222155,0.769215584,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.450664371,0.300345778,0.589424431,2.635187149,-0.413775325,-2.630201817,-0.450659991,-0.300261472,-0.589467413,-2.635178082,0.413777235,2.630201817,3.830673561,2.635178082,1,101
1777042929.853059053,1777042929.853066683,ideal,1777042929.028000116,1777042929.797215700,0.054295778,0.586230755,0.054295778,0.769215584,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.450664371,0.300345778,0.589424431,2.635187149,-0.413775325,-2.630201817,-0.450659991,-0.300261472,-0.589467413,-2.635178082,0.413777235,2.630201817,3.830673561,2.635178082,1,101
1777042929.903163195,1777042929.903175592,ideal,1777042929.028000116,1777042929.797215700,0.104399920,0.636334896,0.104399920,0.769215584,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.450664371,0.300345778,0.589424431,2.635187149,-0.413775325,-2.630201817,-0.450659991,-0.300261472,-0.589467413,-2.635178082,0.413777235,2.630201817,3.830673561,2.635178082,1,101
1777042929.953042984,1777042929.953051805,ideal,1777042929.028000116,1777042929.797215700,0.154279709,0.686214685,0.154279709,0.769215584,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.450664371,0.300345778,0.589424431,2.635187149,-0.413775325,-2.630201817,-0.450659991,-0.300261472,-0.589467413,-2.635178082,0.413777235,2.630201817,3.830673561,2.635178082,1,101
1777042930.002991915,1777042930.003001213,ideal,1777042929.028000116,1777042929.998709440,0.002508879,0.736163616,0.002508879,0.970709324,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.433050454,0.288490027,0.566219151,2.529342651,-0.396438152,-2.525124073,-0.433046074,-0.288405721,-0.566262133,-2.529333584,0.396440061,2.525124073,3.677268586,2.529333584,1,102
1777042930.053062677,1777042930.053071499,ideal,1777042929.028000116,1777042929.998709440,0.052579641,0.786234379,0.052579641,0.970709324,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.433050454,0.288490027,0.566219151,2.529342651,-0.396438152,-2.525124073,-0.433046074,-0.288405721,-0.566262133,-2.529333584,0.396440061,2.525124073,3.677268586,2.529333584,1,102
1777042930.103060484,1777042930.103072643,ideal,1777042929.028000116,1777042929.998709440,0.102577448,0.836232185,0.102577448,0.970709324,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.433050454,0.288490027,0.566219151,2.529342651,-0.396438152,-2.525124073,-0.433046074,-0.288405721,-0.566262133,-2.529333584,0.396440061,2.525124073,3.677268586,2.529333584,1,102
1777042930.153089523,1777042930.153097391,ideal,1777042929.028000116,1777042929.998709440,0.152606487,0.886261225,0.152606487,0.970709324,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.433050454,0.288490027,0.566219151,2.529342651,-0.396438152,-2.525124073,-0.433046074,-0.288405721,-0.566262133,-2.529333584,0.396440061,2.525124073,3.677268586,2.529333584,1,102
1777042930.203132629,1777042930.203138828,ideal,1777042929.028000116,1777042930.200041056,0.002172947,0.936304331,0.002172947,1.172040939,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.415823847,0.277100205,0.543780863,2.432126522,-0.380059719,-2.426182270,-0.415819467,-0.277015899,-0.543823845,-2.432117455,0.380061629,2.426182270,3.534316140,2.432117455,1,103
1777042930.253730297,1777042930.253741503,ideal,1777042929.028000116,1777042930.200041056,0.052770615,0.986901999,0.052770615,1.172040939,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.415823847,0.277100205,0.543780863,2.432126522,-0.380059719,-2.426182270,-0.415819467,-0.277015899,-0.543823845,-2.432117455,0.380061629,2.426182270,3.534316140,2.432117455,1,103
1777042930.303608894,1777042930.303617716,ideal,1777042929.028000116,1777042930.200041056,0.102649212,1.036780596,0.102649212,1.172040939,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.415823847,0.277100205,0.543780863,2.432126522,-0.380059719,-2.426182270,-0.415819467,-0.277015899,-0.543823845,-2.432117455,0.380061629,2.426182270,3.534316140,2.432117455,1,103
1777042930.353153229,1777042930.353160620,ideal,1777042929.028000116,1777042930.200041056,0.152193546,1.086324930,0.152193546,1.172040939,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.415823847,0.277100205,0.543780863,2.432126522,-0.380059719,-2.426182270,-0.415819467,-0.277015899,-0.543823845,-2.432117455,0.380061629,2.426182270,3.534316140,2.432117455,1,103
1777042930.403659344,1777042930.403669119,ideal,1777042929.028000116,1777042930.401422501,0.000545025,1.136831045,0.000545025,1.373422384,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.398549289,0.265449613,0.521325290,2.330500364,-0.364320427,-2.321871758,-0.398544908,-0.265365307,-0.521368272,-2.330491297,0.364322337,2.321871758,3.384684708,2.330491297,1,104
1777042930.453052998,1777042930.453059912,ideal,1777042929.028000116,1777042930.401422501,0.049938679,1.186224699,0.049938679,1.373422384,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.398549289,0.265449613,0.521325290,2.330500364,-0.364320427,-2.321871758,-0.398544908,-0.265365307,-0.521368272,-2.330491297,0.364322337,2.321871758,3.384684708,2.330491297,1,104
1777042930.503078938,1777042930.503088951,ideal,1777042929.028000116,1777042930.401422501,0.099964619,1.236250639,0.099964619,1.373422384,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.398549289,0.265449613,0.521325290,2.330500364,-0.364320427,-2.321871758,-0.398544908,-0.265365307,-0.521368272,-2.330491297,0.364322337,2.321871758,3.384684708,2.330491297,1,104
1777042930.553215742,1777042930.553228617,ideal,1777042929.028000116,1777042930.401422501,0.150101423,1.286387444,0.150101423,1.373422384,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.398549289,0.265449613,0.521325290,2.330500364,-0.364320427,-2.321871758,-0.398544908,-0.265365307,-0.521368272,-2.330491297,0.364322337,2.321871758,3.384684708,2.330491297,1,104
