wall_time_s,ros_time_s,network_profile,twin_stamp_s,real_stamp_s,aoi_s,aoi_twin_s,aoi_real_s,msg_dt_s,twin_joint1,twin_joint2,twin_joint3,twin_joint4,twin_joint5,twin_joint6,real_joint1,real_joint2,real_joint3,real_joint4,real_joint5,real_joint6,err_joint1,err_joint2,err_joint3,err_joint4,err_joint5,err_joint6,err_l2_rad,err_max_rad,n_twin,n_real
1777048033.456962585,1777048033.456966400,ideal,1777048033.176000118,1777048033.375749588,0.080281258,0.013179064,0.080281258,0.199749470,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.128806442,0.457833827,2.799323082,-0.349140406,-2.800282001,0.000518264,0.128890748,-0.457876808,-2.799314015,0.349142315,2.800282001,4.003236548,2.800282001,1,845
1777048033.507321835,1777048033.507334948,ideal,1777048033.176000118,1777048033.375749588,0.130640507,0.063538313,0.130640507,0.199749470,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.128806442,0.457833827,2.799323082,-0.349140406,-2.800282001,0.000518264,0.128890748,-0.457876808,-2.799314015,0.349142315,2.800282001,4.003236548,2.800282001,1,845
1777048033.557191610,1777048033.557199240,ideal,1777048033.176000118,1777048033.375749588,0.180510283,0.113408089,0.180510283,0.199749470,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.128806442,0.457833827,2.799323082,-0.349140406,-2.800282001,0.000518264,0.128890748,-0.457876808,-2.799314015,0.349142315,2.800282001,4.003236548,2.800282001,1,845
1777048033.607299805,1777048033.607310534,ideal,1777048033.176000118,1777048033.577051640,0.029290915,0.163516283,0.029290915,0.401051521,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.128806442,0.457833827,2.799323082,-0.349140406,-2.800282001,0.000518264,0.128890748,-0.457876808,-2.799314015,0.349142315,2.800282001,4.003236548,2.800282001,1,846
1777048033.657304287,1777048033.657317162,ideal,1777048033.176000118,1777048033.577051640,0.079295397,0.213520765,0.079295397,0.401051521,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.128806442,0.457833827,2.799323082,-0.349140406,-2.800282001,0.000518264,0.128890748,-0.457876808,-2.799314015,0.349142315,2.800282001,4.003236548,2.800282001,1,846
1777048033.707229614,1777048033.707235336,ideal,1777048033.176000118,1777048033.577051640,0.129220724,0.263446093,0.129220724,0.401051521,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.128806442,0.457833827,2.799323082,-0.349140406,-2.800282001,0.000518264,0.128890748,-0.457876808,-2.799314015,0.349142315,2.800282001,4.003236548,2.800282001,1,846
1777048033.757277250,1777048033.757287502,ideal,1777048033.176000118,1777048033.577051640,0.179268360,0.313493729,0.179268360,0.401051521,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.128806442,0.457833827,2.799323082,-0.349140406,-2.800282001,0.000518264,0.128890748,-0.457876808,-2.799314015,0.349142315,2.800282001,4.003236548,2.800282001,1,846
1777048033.807066917,1777048033.807072878,ideal,1777048033.176000118,1777048033.778427601,0.027689934,0.363283396,0.027689934,0.602427483,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.127916738,0.452367097,2.774204254,-0.346663684,-2.768643618,0.000518264,0.128001044,-0.452410079,-2.774195187,0.346665593,2.768643618,3.962673702,2.774195187,1,847
1777048033.857158184,1777048033.857167721,ideal,1777048033.176000118,1777048033.778427601,0.077781200,0.413374662,0.077781200,0.602427483,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.127916738,0.452367097,2.774204254,-0.346663684,-2.768643618,0.000518264,0.128001044,-0.452410079,-2.774195187,0.346665593,2.768643618,3.962673702,2.774195187,1,847
1777048033.907138109,1777048033.907145500,ideal,1777048033.176000118,1777048033.778427601,0.127761126,0.463354588,0.127761126,0.602427483,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.127916738,0.452367097,2.774204254,-0.346663684,-2.768643618,0.000518264,0.128001044,-0.452410079,-2.774195187,0.346665593,2.768643618,3.962673702,2.774195187,1,847
1777048033.957024813,1777048033.957030058,ideal,1777048033.176000118,1777048033.778427601,0.177647829,0.513241291,0.177647829,0.602427483,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.127916738,0.452367097,2.774204254,-0.346663684,-2.768643618,0.000518264,0.128001044,-0.452410079,-2.774195187,0.346665593,2.768643618,3.962673702,2.774195187,1,847
1777048034.007199526,1777048034.007208824,ideal,1777048033.176000118,1777048033.979888439,0.025444984,0.563416004,0.025444984,0.803888321,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.123071276,0.436413705,2.679097414,-0.333560914,-2.674687147,0.000518264,0.123155582,-0.436456687,-2.679088347,0.333562824,2.674687147,3.827321762,2.679088347,1,848
1777048034.057120562,1777048034.057129383,ideal,1777048033.176000118,1777048033.979888439,0.075366020,0.613337040,0.075366020,0.803888321,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.123071276,0.436413705,2.679097414,-0.333560914,-2.674687147,0.000518264,0.123155582,-0.436456687,-2.679088347,0.333562824,2.674687147,3.827321762,2.679088347,1,848
1777048034.107308865,1777048034.107321024,ideal,1777048033.176000118,1777048033.979888439,0.125554323,0.663525343,0.125554323,0.803888321,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,-0.000513884,-0.123071276,0.436413705,2.679097414,-0.333560914,-2.674687147,0.000518264,0.123155582,-0.436456687,-2.679088347,0.333562824,2.674687147,3.827321762,2.679088347,1,848
