wall_time_s,ros_time_s,network_profile,twin_stamp_s,real_stamp_s,aoi_s,aoi_twin_s,aoi_real_s,msg_dt_s,twin_joint1,twin_joint2,twin_joint3,twin_joint4,twin_joint5,twin_joint6,real_joint1,real_joint2,real_joint3,real_joint4,real_joint5,real_joint6,err_joint1,err_joint2,err_joint3,err_joint4,err_joint5,err_joint6,err_l2_rad,err_max_rad,n_twin,n_real,t_rel,twin_x,twin_y,twin_z,real_x,real_y,real_z,cart_err_m,twin_velocity_mps,real_velocity_mps,aoi_abs_s,k_aoi_eef_twin_m,k_aoi_eef_real_m,k_aoi_eef_max_m
1777042929.302953,1777042929.302961,ideal,1777042929.028,1777042929.192766,0.109289885,0.036124706,0.109289885,0.164766073,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.4806633,0.320260674,0.629022241,2.799706697,-0.438143253,-2.800090075,-0.48065892,-0.320176368,-0.629065222,-2.79969763,0.438145163,2.800090075,4.074316064,2.800090075,1,98,0.0,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18896344909841747,0.08850979289872563,0.18160024510705103,0.13791217750879758,0.0,0.0,0.109289885,0.0,0.0,0.0
1777042929.3531222,1777042929.3531327,ideal,1777042929.028,1777042929.192766,0.159459114,0.086293936,0.159459114,0.164766073,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.4806633,0.320260674,0.629022241,2.799706697,-0.438143253,-2.800090075,-0.48065892,-0.320176368,-0.629065222,-2.79969763,0.438145163,2.800090075,4.074316064,2.800090075,1,98,0.05016922950744629,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18896344909841747,0.08850979289872563,0.18160024510705103,0.13791217750879758,0.0,5.7164400034228084e-05,0.159459114,0.0,9.115384581799581e-06,9.115384581799581e-06
1777042929.402917,1777042929.402923,ideal,1777042929.028,1777042929.394142,0.006973982,0.13608861,0.006973982,0.366142035,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.480651796,0.320260674,0.628974319,2.799706697,-0.438143253,-2.800090075,-0.480647416,-0.320176368,-0.6290173,-2.79969763,0.438145163,2.800090075,4.074307308,2.800090075,1,99,0.09996390342712402,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.1889537625239553,0.08850203716206927,0.18159327514203108,0.137898620868235,0.0,5.7164400034228084e-05,0.006973982,0.0,3.9866349687950605e-07,3.9866349687950605e-07
1777042929.45316,1777042929.453169,ideal,1777042929.028,1777042929.394142,0.057217121,0.186331749,0.057217121,0.366142035,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.480651796,0.320260674,0.628974319,2.799706697,-0.438143253,-2.800090075,-0.480647416,-0.320176368,-0.6290173,-2.79969763,0.438145163,2.800090075,4.074307308,2.800090075,1,99,0.1502070426940918,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.1889537625239553,0.08850203716206927,0.18159327514203108,0.137898620868235,0.0,5.7164400034228084e-05,0.057217121,0.0,3.2707823936508327e-06,3.2707823936508327e-06
1777042929.5031028,1777042929.5031145,ideal,1777042929.028,1777042929.394142,0.107159853,0.236274481,0.107159853,0.366142035,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.480651796,0.320260674,0.628974319,2.799706697,-0.438143253,-2.800090075,-0.480647416,-0.320176368,-0.6290173,-2.79969763,0.438145163,2.800090075,4.074307308,2.800090075,1,99,0.2001497745513916,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.1889537625239553,0.08850203716206927,0.18159327514203108,0.137898620868235,0.0,0.020123148825275886,0.107159853,0.0,0.002156393670013687,0.002156393670013687
1777042929.5531871,1777042929.5532017,ideal,1777042929.028,1777042929.394142,0.157244444,0.286359072,0.157244444,0.366142035,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.480651796,0.320260674,0.628974319,2.799706697,-0.438143253,-2.800090075,-0.480647416,-0.320176368,-0.6290173,-2.79969763,0.438145163,2.800090075,4.074307308,2.800090075,1,99,0.25023412704467773,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.1889537625239553,0.08850203716206927,0.18159327514203108,0.137898620868235,0.0,0.02006598442524166,0.157244444,0.0,0.003155264564259785,0.003155264564259785
1777042929.6030118,1777042929.6030219,ideal,1777042929.028,1777042929.5956511,0.005607367,0.336183548,0.005607367,0.567651272,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.467986852,0.311946511,0.611995041,2.73642993,-0.431032628,-2.729718924,-0.467982472,-0.311862205,-0.612038023,-2.736420863,0.431034538,2.729718924,3.976934936,2.736420863,1,100,0.30005884170532227,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18821444731843096,0.0835973399649239,0.1809716184534257,0.13411658628118578,0.0,0.02006598442524166,0.005607367,0.0,0.00011251733888861405,0.00011251733888861405
1777042929.6530905,1777042929.6530976,ideal,1777042929.028,1777042929.5956511,0.055685997,0.386262178,0.055685997,0.567651272,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.467986852,0.311946511,0.611995041,2.73642993,-0.431032628,-2.729718924,-0.467982472,-0.311862205,-0.612038023,-2.736420863,0.431034538,2.729718924,3.976934936,2.736420863,1,100,0.35013747215270996,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18821444731843096,0.0835973399649239,0.1809716184534257,0.13411658628118578,0.0,0.02006598442524166,0.055685997,0.0,0.0011173943485060537,0.0011173943485060537
1777042929.703041,1777042929.7030497,ideal,1777042929.028,1777042929.5956511,0.105636597,0.436212778,0.105636597,0.567651272,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.467986852,0.311946511,0.611995041,2.73642993,-0.431032628,-2.729718924,-0.467982472,-0.311862205,-0.612038023,-2.736420863,0.431034538,2.729718924,3.976934936,2.736420863,1,100,0.4000880718231201,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18821444731843096,0.0835973399649239,0.1809716184534257,0.13411658628118578,0.0,0.045356010423368856,0.105636597,0.0,0.004791254594621215,0.004791254594621215
1777042929.753085,1777042929.753095,ideal,1777042929.028,1777042929.5956511,0.155680418,0.486256599,0.155680418,0.567651272,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,0.467986852,0.311946511,0.611995041,2.73642993,-0.431032628,-2.729718924,-0.467982472,-0.311862205,-0.612038023,-2.736420863,0.431034538,2.729718924,3.976934936,2.736420863,1,100,0.450131893157959,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18821444731843096,0.0835973399649239,0.1809716184534257,0.13411658628118578,0.0,0.0252900259981272,0.155680418,0.0,0.003937161818619309,0.003937161818619309
