wall_time_s,ros_time_s,network_profile,twin_stamp_s,real_stamp_s,aoi_s,aoi_twin_s,aoi_real_s,msg_dt_s,twin_joint1,twin_joint2,twin_joint3,twin_joint4,twin_joint5,twin_joint6,real_joint1,real_joint2,real_joint3,real_joint4,real_joint5,real_joint6,err_joint1,err_joint2,err_joint3,err_joint4,err_joint5,err_joint6,err_l2_rad,err_max_rad,n_twin,n_real
1777042395.829795599,1777042395.829801321,ideal,1777042395.647000074,1777042395.641134977,0.186618328,0.027240276,0.186618328,-0.005865097,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.349036247,0.200266942,0.630042315,2.954255342,-0.437983483,-4.262932777,-0.349031866,-0.200182636,-0.630085296,-2.954246275,0.437985393,4.262932777,5.258412492,4.262932777,1,180
1777042395.879929543,1777042395.879937887,ideal,1777042395.647000074,1777042395.842681408,0.036281109,0.077374220,0.036281109,0.195681334,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.349036247,0.200266942,0.630042315,2.954255342,-0.437983483,-4.262932777,-0.349031866,-0.200182636,-0.630085296,-2.954246275,0.437985393,4.262932777,5.258412492,4.262932777,1,181
1777042395.930149317,1777042395.930161953,ideal,1777042395.647000074,1777042395.842681408,0.086500883,0.127593994,0.086500883,0.195681334,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.349036247,0.200266942,0.630042315,2.954255342,-0.437983483,-4.262932777,-0.349031866,-0.200182636,-0.630085296,-2.954246275,0.437985393,4.262932777,5.258412492,4.262932777,1,181
1777042395.980211735,1777042395.980225801,ideal,1777042395.647000074,1777042395.842681408,0.136563301,0.177656412,0.136563301,0.195681334,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.349036247,0.200266942,0.630042315,2.954255342,-0.437983483,-4.262932777,-0.349031866,-0.200182636,-0.630085296,-2.954246275,0.437985393,4.262932777,5.258412492,4.262932777,1,181
1777042396.029969454,1777042396.029978514,ideal,1777042395.647000074,1777042395.842681408,0.186321020,0.227414131,0.186321020,0.195681334,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.349036247,0.200266942,0.630042315,2.954255342,-0.437983483,-4.262932777,-0.349031866,-0.200182636,-0.630085296,-2.954246275,0.437985393,4.262932777,5.258412492,4.262932777,1,181
1777042396.080157995,1777042396.080173731,ideal,1777042395.647000074,1777042396.044086933,0.034311771,0.277602673,0.034311771,0.397086859,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.346020043,0.198924705,0.624485493,2.936806202,-0.436385572,-4.226883888,-0.346015663,-0.198840399,-0.624528474,-2.936797135,0.436387482,4.226883888,5.218338721,4.226883888,1,182
1777042396.130205870,1777042396.130226851,ideal,1777042395.647000074,1777042396.044086933,0.084359646,0.327650547,0.084359646,0.397086859,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.346020043,0.198924705,0.624485493,2.936806202,-0.436385572,-4.226883888,-0.346015663,-0.198840399,-0.624528474,-2.936797135,0.436387482,4.226883888,5.218338721,4.226883888,1,182
1777042396.179936171,1777042396.179943085,ideal,1777042395.647000074,1777042396.044086933,0.134089947,0.377380848,0.134089947,0.397086859,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.346020043,0.198924705,0.624485493,2.936806202,-0.436385572,-4.226883888,-0.346015663,-0.198840399,-0.624528474,-2.936797135,0.436387482,4.226883888,5.218338721,4.226883888,1,182
1777042396.229940891,1777042396.229958773,ideal,1777042395.647000074,1777042396.044086933,0.184094667,0.427385569,0.184094667,0.397086859,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.346020043,0.198924705,0.624485493,2.936806202,-0.436385572,-4.226883888,-0.346015663,-0.198840399,-0.624528474,-2.936797135,0.436387482,4.226883888,5.218338721,4.226883888,1,182
1777042396.279850483,1777042396.279893875,ideal,1777042395.647000074,1777042396.245583296,0.032711744,0.477295160,0.032711744,0.598583221,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.337845832,0.194244146,0.609736264,2.870269775,-0.425679654,-4.126983643,-0.337841452,-0.194159840,-0.609779245,-2.870260708,0.425681564,4.126983643,5.096593071,4.126983643,1,183
1777042396.330129147,1777042396.330142498,ideal,1777042395.647000074,1777042396.245583296,0.082990408,0.527573824,0.082990408,0.598583221,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.337845832,0.194244146,0.609736264,2.870269775,-0.425679654,-4.126983643,-0.337841452,-0.194159840,-0.609779245,-2.870260708,0.425681564,4.126983643,5.096593071,4.126983643,1,183
1777042396.379969835,1777042396.379983187,ideal,1777042395.647000074,1777042396.245583296,0.132831097,0.577414513,0.132831097,0.598583221,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.337845832,0.194244146,0.609736264,2.870269775,-0.425679654,-4.126983643,-0.337841452,-0.194159840,-0.609779245,-2.870260708,0.425681564,4.126983643,5.096593071,4.126983643,1,183
1777042396.429878950,1777042396.429886341,ideal,1777042395.647000074,1777042396.245583296,0.182740211,0.627323627,0.182740211,0.598583221,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.337845832,0.194244146,0.609736264,2.870269775,-0.425679654,-4.126983643,-0.337841452,-0.194159840,-0.609779245,-2.870260708,0.425681564,4.126983643,5.096593071,4.126983643,1,183
1777042396.480042934,1777042396.480053902,ideal,1777042395.647000074,1777042396.447046995,0.031168461,0.677487612,0.031168461,0.800046921,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.329621792,0.189477310,0.594895005,2.797214031,-0.414254695,-4.029959202,-0.329617412,-0.189393004,-0.594937987,-2.797204964,0.414256605,4.029959202,4.973429789,4.029959202,1,184
1777042396.530028820,1777042396.530037880,ideal,1777042395.647000074,1777042396.447046995,0.081154346,0.727473497,0.081154346,0.800046921,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.329621792,0.189477310,0.594895005,2.797214031,-0.414254695,-4.029959202,-0.329617412,-0.189393004,-0.594937987,-2.797204964,0.414256605,4.029959202,4.973429789,4.029959202,1,184
1777042396.579898357,1777042396.579905272,ideal,1777042395.647000074,1777042396.447046995,0.131023884,0.777343035,0.131023884,0.800046921,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.329621792,0.189477310,0.594895005,2.797214031,-0.414254695,-4.029959202,-0.329617412,-0.189393004,-0.594937987,-2.797204964,0.414256605,4.029959202,4.973429789,4.029959202,1,184
1777042396.629912138,1777042396.629920483,ideal,1777042395.647000074,1777042396.447046995,0.181037664,0.827356815,0.181037664,0.800046921,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.329621792,0.189477310,0.594895005,2.797214031,-0.414254695,-4.029959202,-0.329617412,-0.189393004,-0.594937987,-2.797204964,0.414256605,4.029959202,4.973429789,4.029959202,1,184
1777042396.680080175,1777042396.680091858,ideal,1777042395.647000074,1777042396.648476124,0.029322147,0.877524853,0.029322147,1.001476049,0.000004380,0.000084306,-0.000042982,0.000009067,0.000001910,0.000000000,0.321219414,0.184562817,0.579743087,2.726842642,-0.403069437,-3.924306393,-0.321215034,-0.184478511,-0.579786069,-2.726833575,0.403071346,3.924306393,4.844753020,3.924306393,1,185
