wall_time_s,ros_time_s,network_profile,twin_stamp_s,real_stamp_s,aoi_s,aoi_twin_s,aoi_real_s,msg_dt_s,twin_joint1,twin_joint2,twin_joint3,twin_joint4,twin_joint5,twin_joint6,real_joint1,real_joint2,real_joint3,real_joint4,real_joint5,real_joint6,err_joint1,err_joint2,err_joint3,err_joint4,err_joint5,err_joint6,err_l2_rad,err_max_rad,n_twin,n_real,t_rel,twin_x,twin_y,twin_z,real_x,real_y,real_z,cart_err_m,twin_velocity_mps,real_velocity_mps,aoi_abs_s,k_aoi_eef_twin_m,k_aoi_eef_real_m,k_aoi_eef_max_m
1776870378.8935924,1776870378.8935983,ideal,1776870378.655,1776870378.7438898,0.14804244,0.01018858,0.14804244,0.088889837,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,-0.000278034,0.040736776,0.463080049,-0.000575243,0.319499433,-0.000575243,0.000282414,-0.04065247,-0.46312303,0.00058431,-0.319497523,0.000575243,0.564105472,0.46312303,1,103,0.0,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18722214620433533,-6.334655205587779e-05,0.20941523055228686,0.11474414431588044,0.0,0.0,0.14804244,0.0,0.0,0.0
1776870378.9437296,1776870378.9437375,ideal,1776870378.655,1776870378.7438898,0.198179483,0.060325623,0.198179483,0.088889837,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,-0.000278034,0.040736776,0.463080049,-0.000575243,0.319499433,-0.000575243,0.000282414,-0.04065247,-0.46312303,0.00058431,-0.319497523,0.000575243,0.564105472,0.46312303,1,103,0.05013728141784668,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18722214620433533,-6.334655205587779e-05,0.20941523055228686,0.11474414431588044,0.0,0.0,0.198179483,0.0,0.0,0.0
1776870378.993719,1776870378.9937274,ideal,1776870378.655,1776870378.9455483,0.046649456,0.110315323,0.046649456,0.290548563,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,-0.000278034,0.040736776,0.463080049,-0.000575243,0.319499433,-0.000575243,0.000282414,-0.04065247,-0.46312303,0.00058431,-0.319497523,0.000575243,0.564105472,0.46312303,1,104,0.10012674331665039,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18722214620433533,-6.334655205587779e-05,0.20941523055228686,0.11474414431588044,0.0,0.0,0.046649456,0.0,0.0,0.0
1776870379.0438256,1776870379.0438347,ideal,1776870378.655,1776870378.9455483,0.096755743,0.16042161,0.096755743,0.290548563,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,-0.000278034,0.040736776,0.463080049,-0.000575243,0.319499433,-0.000575243,0.000282414,-0.04065247,-0.46312303,0.00058431,-0.319497523,0.000575243,0.564105472,0.46312303,1,104,0.15023326873779297,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18722214620433533,-6.334655205587779e-05,0.20941523055228686,0.11474414431588044,0.0,0.0,0.096755743,0.0,0.0,0.0
1776870379.0941207,1776870379.0941343,ideal,1776870378.655,1776870378.9455483,0.147050858,0.210716724,0.147050858,0.290548563,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,-0.000278034,0.040736776,0.463080049,-0.000575243,0.319499433,-0.000575243,0.000282414,-0.04065247,-0.46312303,0.00058431,-0.319497523,0.000575243,0.564105472,0.46312303,1,104,0.20052838325500488,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18722214620433533,-6.334655205587779e-05,0.20941523055228686,0.11474414431588044,0.0,0.008737287760632123,0.147050858,0.0,0.0012848256617938524,0.0012848256617938524
1776870379.1438544,1776870379.143865,ideal,1776870378.655,1776870378.9455483,0.196784496,0.260450363,0.196784496,0.290548563,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,-0.000278034,0.040736776,0.463080049,-0.000575243,0.319499433,-0.000575243,0.000282414,-0.04065247,-0.46312303,0.00058431,-0.319497523,0.000575243,0.564105472,0.46312303,1,104,0.2502620220184326,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18722214620433533,-6.334655205587779e-05,0.20941523055228686,0.11474414431588044,0.0,0.008737287760632123,0.196784496,0.0,0.001719362768382961,0.001719362768382961
1776870379.1939137,1776870379.193924,ideal,1776870378.655,1776870379.1471632,0.044799328,0.310509682,0.044799328,0.492163181,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,-0.000278034,0.040543113,0.455166608,0.000191748,0.317262381,-0.000575243,0.000282414,-0.040458807,-0.45520959,-0.000182681,-0.317260472,0.000575243,0.556333835,0.45520959,1,105,0.3003213405609131,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18550991512987458,-4.7839377544702255e-05,0.208054857698254,0.11258688587369123,0.0,0.008737287760632123,0.044799328,0.0,0.000391424620218944,0.000391424620218944
1776870379.2437775,1776870379.243785,ideal,1776870378.655,1776870379.1471632,0.094663143,0.360373497,0.094663143,0.492163181,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,-0.000278034,0.040543113,0.455166608,0.000191748,0.317262381,-0.000575243,0.000282414,-0.040458807,-0.45520959,-0.000182681,-0.317260472,0.000575243,0.556333835,0.45520959,1,105,0.3501851558685303,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18550991512987458,-4.7839377544702255e-05,0.208054857698254,0.11258688587369123,0.0,0.008737287760632123,0.094663143,0.0,0.0008270991207168684,0.0008270991207168684
1776870379.2938251,1776870379.2938352,ideal,1776870378.655,1776870379.1471632,0.144711018,0.410421371,0.144711018,0.492163181,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,-0.000278034,0.040543113,0.455166608,0.000191748,0.317262381,-0.000575243,0.000282414,-0.040458807,-0.45520959,-0.000182681,-0.317260472,0.000575243,0.556333835,0.45520959,1,105,0.40023279190063477,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18550991512987458,-4.7839377544702255e-05,0.208054857698254,0.11258688587369123,0.0,0.09292904615699586,0.144711018,0.0,0.013447856871147858,0.013447856871147858
1776870379.3439515,1776870379.343965,ideal,1776870378.655,1776870379.1471632,0.194837093,0.460547447,0.194837093,0.492163181,4.38e-06,8.4306e-05,-4.2982e-05,9.067e-06,1.91e-06,0.0,-0.000278034,0.040543113,0.455166608,0.000191748,0.317262381,-0.000575243,0.000282414,-0.040458807,-0.45520959,-0.000182681,-0.317260472,0.000575243,0.556333835,0.45520959,1,105,0.4503591060638428,0.08697983045896918,3.809727397977429e-07,0.15357892759809322,0.18550991512987458,-4.7839377544702255e-05,0.208054857698254,0.11258688587369123,0.0,0.08419175839636374,0.194837093,0.0,0.01640367746050585,0.01640367746050585
